utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected,utt_cyr_norm_lowercase_nopunct
UTT_043583,TEF,2;04.21,TEF,necho [: neshto] siop [: sirop] .,"['neshto', 'sirop', '.']","['neshto', 'sirop', '.']","['neshto', 'sirop']",2,Нечо [: нещо] сиоп [: сироп] .,"['нечо', 'нещо', 'сиоп', 'сироп']",Нечо сиоп .,нещо сироп .,,нещо сироп
UTT_043586,TEF,2;04.21,TEF,ochi [: oshte] pibia [: da pribera] .,"['oshte', 'da', 'pribera', '.']","['oshte', 'da', 'pribera', '.']","['oshte', 'da', 'pribera']",3,Очи [: още] пибиа [: да прибера] .,"['очи', 'още', 'пибиа', 'да', 'прибера']",Очи пибиа .,да прибера .,,да прибера
UTT_043590,TEF,2;04.21,TEF,ne tuj .,"['ne', 'tuj', '.']","['ne', 'tuj', '.']","['ne', 'tuj']",2,Не туй .,"['не', 'туй']",Не туй .,Не туй .,,не туй
UTT_043594,TEF,2;04.21,TEF,iskam tvoish [: da otvorish] az pija [: da pija] .,"['iskam', 'da', 'otvorish', 'az', 'da', 'pija', '.']","['iskam', 'da', 'otvorish', 'az', 'da', 'pija', '.']","['iskam', 'da', 'otvorish', 'az', 'da', 'pija']",6,Искам твоиш [: да отвориш] аз пия [: да пия] .,"['искам', 'твоиш', 'да', 'отвориш', 'аз', 'пия', 'да', 'пия']",Искам твоиш аз пия .,да отвориш да пия .,,да отвориш да пия
UTT_043597,TEF,2;04.21,TEF,ne be .,"['ne', 'be', '.']","['ne', 'be', '.']","['ne', 'be']",2,Не бе .,"['не', 'бе']",Не бе .,Не бе .,Не бе .,не бе
UTT_043599,TEF,2;04.21,TEF,samo tuj ganno [: gadno] .,"['samo', 'tuj', 'gadno', '.']","['samo', 'tuj', 'gadno', '.']","['samo', 'tuj', 'gadno']",3,Само туй ганно [: гадно] .,"['само', 'туй', 'ганно', 'гадно']",Само туй ганно .,Само туй гадно .,Само туй гадно .,само туй гадно
UTT_043601,TEF,2;04.21,TEF,"ne be, tuj ne e ganno [: gadno] .","['ne', 'be', ',', 'tuj', 'ne', 'e', 'gadno', '.']","['ne', 'be', ',', 'tuj', 'ne', 'e', 'gadno', '.']","['ne', 'be', 'tuj', 'ne', 'e', 'gadno']",6,"Не бе, туй не е ганно [: гадно] .","['не', 'бе', 'туй', 'не', 'е', 'ганно', 'гадно']","Не бе , туй не е ганно .","Не бе , туй не е гадно .",,не бе туй не е гадно
UTT_043610,TEF,2;04.21,TEF,boi [: boli] ma .,"['boli', 'ma', '.']","['boli', 'ma', '.']","['boli', 'ma']",2,Бои [: боли] ма .,"['бои', 'боли', 'ма']",Бои ма .,боли ма .,,боли ма
UTT_043615,TEF,2;04.21,TEF,"mamo Mimi, kolko pija siop [: sirop] ?","['mamo', 'Mimi', ',', 'kolko', 'pija', 'sirop', '?']","['mamo', 'mimi', ',', 'kolko', 'pija', 'sirop', '?']","['mamo', 'mimi', 'kolko', 'pija', 'sirop']",5,"Мамо мими, колко пия сиоп [: сироп] ?","['мамо', 'мими', 'колко', 'пия', 'сиоп', 'сироп']","Мамо мими , колко пия сиоп ?","Мамо мими , колко пия сироп ?",,мамо мими колко пия сироп
UTT_043618,TEF,2;04.21,TEF,az' [: az] sam [: sym] bona [: bolna] .,"['az', 'sym', 'bolna', '.']","['az', 'sym', 'bolna', '.']","['az', 'sym', 'bolna']",3,Аз' [: аз] сам [: съм] бона [: болна] .,"['аз', 'аз', 'сам', 'съм', 'бона', 'болна']",Аз' сам бона .,аз съм болна .,,аз съм болна
